S.No.,Name,CMP Rs. ,P/E ,Mar Cap Rs.Cr. ,Div Yld % ,NP Qtr Rs.Cr. ,Qtr Profit Var % ,Sales Qtr Rs.Cr. ,Qtr Sales Var % ,ROCE % ,Piotski Scr 
1,SML ISUZU,1348.2,24.53,1950.86,0,21.09,329.99,498.59,21.48,9.39,9
2,Force Motors,3734.8,26.47,4922.46,0.27,93.89,387.64,1801.68,42.53,4.73,9
3,Maruti Suzuki,10023.8,27.77,315150.92,0.9,3764.3,78.19,37072.8,23.81,14.5,8
4,Tata Motors,799.5,18.28,292707.3,0.25,3832.08,463.11,105128.24,32.05,5.95,8
5,Hero Motocorp,4104,24.52,82033.68,2.43,1007.04,47.49,9533.07,4.09,22.72,7
6,VST Till. Tract.,3557.8,23.84,3073.77,0.7,36.45,60.29,278.51,18.95,15.89,6
7,Bajaj Auto,7091.85,29.29,200826.83,1.95,2020.05,17.48,10838.24,6.23,26.18,6
8,Eicher Motors,3867.65,29.56,105886.77,0.96,1016.25,54.71,4114.53,16.91,27.35,6
9,Escorts Kubota,2815.05,34.26,31105.81,0.25,223.29,66.34,2059.3,8.91,11.31,6
10,Scooters India,71.54,0,624.34,0,-1.13,-16.49,0,0,0.44,5
11,Ashok Leyland,177.25,24.48,52042.87,1.45,569.31,243.92,11429.04,19.05,11.43,5
12,Atul Auto,543.15,301.47,1507.29,0,7.13,23866.67,153.17,24.48,4.43,5
13,TVS Motor Co.,2019.3,65.81,95936.93,0.25,415.93,3.45,9932.82,16.03,13.19,5
14,Wardwizard Inno.,69.25,199.52,1805.28,0.17,2.42,-3.2,45.11,-29.39,17.73,4
15,Olectra Greentec,1535.4,162.57,12602.74,0.03,18.58,143.4,307.16,73.19,13.29,4
16,M & M,1630.85,18.83,202800.89,1.02,2483.97,3.14,34435.52,15.28,12.69,4
17,Hindustan Motors,16.96,0,353.91,0,-0.9,-1185.71,0,,-21.52,3
18,Mercury EV-Tech,98.35,713.54,1641.14,0,0.75,1150,4.15,42.61,3,3
20,Median: 19 Co.,1535.4,28.53,27016.81,0.25,223.29,63.31,2059.3,19,12.06,5
